recencia_dias,frequencia_pedidos,valor_total,ticket_medio,tempo_entrega_dias,atraso_medio_dias,nota_media_review,frete_pct,parcelas,categoria_principal,metodo_pagamento,churn
40,3,90.9,30.3,13.1,3.0,3.4,21.0,5,relogios_presentes,boleto,0
310,2,535.83,267.92,5.7,1.8,2.1,10.4,8,informatica,cartao_credito,0
263,3,448.06,149.35,10.0,1.6,3.4,6.8,6,esporte_lazer,boleto,1
178,1,184.37,184.37,2.0,0.0,4.0,20.3,9,beleza_saude,boleto,1
176,3,421.06,140.35,11.6,0.0,4.6,22.5,4,relogios_presentes,cartao_credito,0
344,3,176.1,58.7,21.9,0.0,3.9,16.4,7,esporte_lazer,cartao_credito,1
38,3,483.68,161.23,4.9,0.0,4.6,9.4,7,telefonia,boleto,0
280,2,204.47,102.24,3.3,0.3,5.0,13.3,7,esporte_lazer,cartao_credito,1
84,3,104.24,34.75,8.1,1.1,5.0,11.1,2,relogios_presentes,cartao_credito,1
42,2,613.23,306.62,17.5,0.0,4.3,14.7,2,relogios_presentes,cartao_credito,0
212,1,316.38,316.38,22.2,0.2,3.0,19.3,7,cama_mesa_banho,pix,1
390,3,168.66,56.22,14.7,1.8,2.9,14.8,9,esporte_lazer,boleto,1
295,3,508.79,169.6,4.3,2.7,2.9,15.0,5,informatica,cartao_credito,1
305,2,291.27,145.64,11.9,0.0,3.0,11.9,1,informatica,pix,1
288,4,154.87,38.72,22.7,0.0,4.2,19.0,9,moveis_decoracao,cartao_credito,1
315,1,512.74,512.74,10.1,2.4,5.0,17.2,9,telefonia,pix,1
207,4,323.58,80.9,12.8,2.0,4.3,4.0,9,telefonia,cartao_debito,1
55,4,240.45,60.11,13.4,3.9,4.0,4.3,5,moveis_decoracao,boleto,0
336,3,195.96,65.32,2.7,3.8,5.0,13.0,7,telefonia,pix,1
182,2,101.54,50.77,18.0,6.5,3.3,20.8,1,informatica,pix,1
202,4,34.36,8.59,17.1,0.0,5.0,22.0,1,brinquedos,cartao_credito,0
151,2,303.74,151.87,2.0,4.4,5.0,19.6,1,cama_mesa_banho,cartao_credito,1
77,2,87.51,43.76,4.0,0.0,4.2,14.1,5,beleza_saude,cartao_credito,0
371,3,101.5,33.83,6.2,6.5,5.0,23.8,10,beleza_saude,cartao_credito,1
313,3,174.18,58.06,16.5,1.6,5.0,10.7,1,esporte_lazer,cartao_credito,0
259,2,177.05,88.52,7.5,1.9,4.1,13.0,6,brinquedos,cartao_credito,1
163,3,110.9,36.97,14.4,3.0,4.0,6.5,8,cama_mesa_banho,cartao_credito,0
329,6,303.56,50.59,10.9,0.0,3.7,12.9,5,beleza_saude,cartao_credito,0
220,3,58.33,19.44,12.4,0.0,4.0,9.8,1,telefonia,pix,1
180,2,299.76,149.88,15.0,0.8,4.0,24.2,10,informatica,cartao_credito,0
182,4,161.15,40.29,13.6,1.4,3.8,23.0,9,brinquedos,boleto,0
94,2,107.08,53.54,11.9,5.7,3.9,15.4,5,cama_mesa_banho,cartao_credito,1
41,7,62.14,8.88,14.0,0.0,2.9,17.8,9,moveis_decoracao,cartao_credito,0
224,1,217.83,217.83,13.3,4.4,3.5,11.4,9,moveis_decoracao,cartao_credito,1
355,1,82.86,82.86,10.7,0.0,2.5,2.0,7,relogios_presentes,cartao_credito,1
30,2,74.73,37.36,9.4,0.0,4.5,10.4,9,brinquedos,cartao_credito,0
344,1,444.01,444.01,23.3,0.1,4.2,19.5,7,cama_mesa_banho,cartao_credito,1
331,2,69.8,34.9,9.3,0.0,4.0,17.6,8,beleza_saude,cartao_credito,1
114,5,57.57,11.51,20.2,1.7,5.0,12.6,2,esporte_lazer,pix,0
254,2,284.75,142.38,7.9,0.0,3.2,19.4,1,cama_mesa_banho,cartao_credito,1
70,3,229.41,76.47,16.9,0.0,3.4,12.2,2,cama_mesa_banho,cartao_credito,0
304,4,130.75,32.69,22.7,0.0,2.6,8.2,10,relogios_presentes,cartao_debito,1
281,1,97.07,97.07,10.0,1.6,5.0,19.4,5,cama_mesa_banho,cartao_credito,1
145,2,115.93,57.96,8.0,0.0,4.7,11.3,7,brinquedos,boleto,1
31,2,133.21,66.6,9.4,2.0,5.0,21.2,6,esporte_lazer,cartao_credito,0
388,2,264.23,132.12,11.9,3.5,5.0,3.0,5,telefonia,boleto,1
181,2,221.24,110.62,13.9,4.2,3.7,11.6,8,esporte_lazer,cartao_credito,1
357,1,149.43,149.43,11.8,1.3,3.4,18.6,8,beleza_saude,pix,1
272,2,148.32,74.16,9.5,0.0,2.3,18.0,10,esporte_lazer,cartao_credito,1
312,5,293.01,58.6,23.7,2.1,3.0,13.7,1,brinquedos,boleto,1
305,1,106.8,106.8,10.8,2.9,3.8,16.7,4,informatica,cartao_credito,1
81,4,60.7,15.18,8.3,0.0,2.0,15.8,2,informatica,cartao_credito,0
148,3,414.26,138.09,17.0,0.3,3.0,6.1,6,moveis_decoracao,cartao_credito,0
189,1,149.55,149.55,17.1,1.7,4.0,12.8,7,esporte_lazer,boleto,1
201,2,574.88,287.44,20.5,5.0,5.0,16.4,2,informatica,cartao_credito,0
22,6,135.64,22.61,23.6,0.0,3.4,18.0,7,brinquedos,boleto,0
220,1,189.15,189.15,14.1,2.7,4.2,14.6,1,relogios_presentes,pix,1
65,3,100.92,33.64,10.3,1.3,5.0,11.7,6,beleza_saude,cartao_credito,0
298,1,223.58,223.58,2.0,1.0,2.3,7.0,10,brinquedos,pix,1
274,2,150.8,75.4,6.4,3.8,5.0,19.5,7,moveis_decoracao,pix,1
369,1,163.14,163.14,13.3,0.0,4.5,18.9,8,beleza_saude,boleto,1
299,5,202.71,40.54,4.9,1.1,5.0,20.9,10,informatica,boleto,0
149,4,137.72,34.43,2.5,0.6,5.0,8.5,6,telefonia,cartao_debito,0
387,1,218.96,218.96,12.4,0.0,3.4,15.7,2,beleza_saude,pix,1
167,1,117.1,117.1,16.7,3.6,4.1,10.8,6,cama_mesa_banho,cartao_credito,1
133,6,211.68,35.28,10.5,2.6,2.6,15.3,4,brinquedos,boleto,1
362,1,53.36,53.36,17.4,0.6,3.6,32.4,10,esporte_lazer,cartao_credito,1
151,3,69.8,23.27,15.7,0.0,4.1,20.4,3,informatica,cartao_credito,0
